stop_id,stop_name,stop_lat,stop_lon
stop_3_039,- Monumento via Rizal Ave - Stop 39,14.578019103473483,120.98724957119796
stop_3_041,- Monumento via Rizal Ave - Stop 41,14.578800160216836,120.98679625094309
stop_3_043,- Monumento via Rizal Ave - Stop 43,14.579582584455103,120.98634528793475
stop_3_045,- Monumento via Rizal Ave - Stop 45,14.580366748080907,120.98589735696235
stop_3_047,- Monumento via Rizal Ave - Stop 47,14.581154123853851,120.98545511568403
stop_3_049,- Monumento via Rizal Ave - Stop 49,14.581942840351733,120.98501525023931
stop_3_051,- Monumento via Rizal Ave - Stop 51,14.582731709493146,120.98457566241316
stop_3_053,- Monumento via Rizal Ave - Stop 53,14.583525762603395,120.98414550548644
stop_3_055,- Monumento via Rizal Ave - Stop 55,14.584314592716062,120.98370587477694
stop_3_057,- Monumento via Rizal Ave - Stop 57,14.58510186119958,120.98326342299208
stop_3_059,- Monumento via Rizal Ave - Stop 59,14.58588806137846,120.9828190767188
stop_3_061,- Monumento via Rizal Ave - Stop 61,14.586678907047286,120.98238309979796
stop_3_063,- Monumento via Rizal Ave - Stop 63,14.587471809519192,120.98195082558692
stop_3_065,- Monumento via Rizal Ave - Stop 65,14.588267500151614,120.981523805683
stop_3_067,- Monumento via Rizal Ave - Stop 67,14.589119787655532,120.98122966870936
stop_3_069,- Monumento via Rizal Ave - Stop 69,14.589976385336389,120.98094488839789
stop_3_071,- Monumento via Rizal Ave - Stop 71,14.590835263726348,120.98066619854328
stop_3_073,- Monumento via Rizal Ave - Stop 73,14.591701161017134,120.9804156649033
stop_3_075,- Monumento via Rizal Ave - Stop 75,14.592559938899203,120.98014736511328
stop_3_077,- Monumento via Rizal Ave - Stop 77,14.59340963027797,120.97986074190128
stop_3_079,- Monumento via Rizal Ave - Stop 79,14.594293049826344,120.97996756809822
stop_3_081,- Monumento via Rizal Ave - Stop 81,14.59517632554068,120.98015562033854
stop_3_083,- Monumento via Rizal Ave - Stop 83,14.596060594031783,120.98033899034462
stop_3_085,- Monumento via Rizal Ave - Stop 85,14.59694597476364,120.98051687466538
stop_3_087,- Monumento via Rizal Ave - Stop 87,14.59783183304049,120.98069240368532
stop_3_089,- Monumento via Rizal Ave - Stop 89,14.598717691317338,120.98086793270522
stop_3_091,- Monumento via Rizal Ave - Stop 91,14.599273124595868,120.98136646757662
stop_3_093,- Monumento via Rizal Ave - Stop 93,14.600166694434757,120.98149618108444
stop_3_095,- Monumento via Rizal Ave - Stop 95,14.60104401765253,120.98170955059474
stop_3_097,- Monumento via Rizal Ave - Stop 97,14.601936892077209,120.98184433160426
stop_3_099,- Monumento via Rizal Ave - Stop 99,14.602833829348471,120.98193160329832
stop_3_101,- Monumento via Rizal Ave - Stop 101,14.60373637569323,120.98196150616198
stop_3_103,- Monumento via Rizal Ave - Stop 103,14.60463710456495,120.98202575965531
stop_3_105,- Monumento via Rizal Ave - Stop 105,14.605537824912044,120.98209033882276
stop_3_107,- Monumento via Rizal Ave - Stop 107,14.606438946883497,120.98214948381556
stop_3_109,- Monumento via Rizal Ave - Stop 109,14.607339450918294,120.98221765864092
stop_3_111,- Monumento via Rizal Ave - Stop 111,14.608239810400224,120.98228769612408
stop_3_113,- Monumento via Rizal Ave - Stop 113,14.609140382978987,120.98235471954872
stop_3_115,- Monumento via Rizal Ave - Stop 115,14.610041469910229,120.98241470009424
